text,tweet2words,num_capitalized,tweet_length,num_negative_words,num_positive_words,num_neutral_words,has_capitalized,num_capitalised_positive_words,num_capitalised_negative_words,num_hashtags,num_special_character,correctedText
What I love best about @AmericanAir is the ease of working in coach on a 6 hour flight. Getting to open my laptop half way is a luxury I thought was reserved for royalty and private planes. pic.twitter.com/traVTB64Vm,What I love best ease working coach hour flight Getting open laptop half way luxury I thought reserved royalty private planes pic twitter com traVTB Vm,0,24,0,4,34,1,0,0,0,4, What I love best ease working coach hour flight Getting open laptop half way luxury I thought reserved royalty private planes pic twitter com Travolta V
#AmericanAirlines kicks musician with cello off plane in #Miami even though she paid for the extra seat. https:// cbsloc.al/2vFfwqZ @AmericanAir,AmericanAirlines kicks musician cello plane Miami even though paid extra seat https cbsloc al vFfwqZ,0,16,0,0,20,0,0,0,2,6, American Airlines kicks musician cello plane Miami even though paid extra seat HTTP Slocum AL 
#NYC #JFK to #Milan #MXP Italy $541RT Nonstop on @AmericanAir for September Travel https:// bit.ly/2AI9hs0 #airfare #flights pic.twitter.com/uANg30Ch63,NYC JFK Milan MXP Italy RT Nonstop September Travel https bit ly AI hs airfare flights pic twitter com uANg Ch,5,22,0,0,18,1,0,0,6,11, NYC JFK Milan MP Italy RT Nonstop September Travel HTTP bit l AI HS airfare flights pic twitter com yang Ch
It’s a bird! It’s a plane! Nope- it's Girls Who Code We hope their interests in STEM are soaring after their visit to @AmericanAir pic.twitter.com/q71eYBPNlA,It bird It plane Nope Girls Who Code We hope interests STEM soaring visit pic twitter com q eYBPNlA,1,16,0,1,24,1,0,0,0,8, It bird It plane Nope Girls Who Code We hope interests STEM soaring visit pic twitter com q 
Hello again @Reagan_Airport ! Off to @PHXSkyHarbor on @AmericanAir . pic.twitter.com/5KjLrQxesu,Hello Off pic twitter com KjLrQxesu,0,9,0,0,11,1,0,0,0,6, Hello Off pic twitter com 
Hey @AmericanAir you think you could put your seats a little closer on your planes? We might as well be sitting on each other’s lap. Why is this ok?? Oh btw thanks for that 3 hour delay for no reason. #myelbowisforsuregettinghitbyyourfoodtrayonwheels pic.twitter.com/7tiuYozCP0,Hey think could put seats little closer planes We might well sitting lap Why ok Oh btw thanks hour delay reason myelbowisforsuregettinghitbyyourfoodtrayonwheels pic twitter com tiuYozCP,0,25,1,1,40,1,0,0,1,8, Hey think could put seats little closer planes We might well sitting lap Why OK Oh BTW thanks hour delay reason  pic twitter com 
"I feel like I'm cheating on @AmericanAir sitting an @AlaskaAir plane, but couldn't pass up the #NonStop SEA-TUS #LoveThisLife",I feel like I cheating sitting plane pass NonStop SEA TUS LoveThisLife,2,12,1,1,17,1,0,0,2,8, I feel like I cheating sitting plane pass Non Stop SEA TOES Loveliness
"Why do I stay loyal to @AmericanAir ? When I got off the plane this morning I had a voicemail explaining why my bag didn’t make the plane, where it was, and when I was getting it. THAT is customer service. (See how that works @British_Airways )",Why I stay loyal When I got plane morning I voicemail explaining bag make plane I getting THAT customer service See works,1,18,0,2,45,1,0,0,0,10, Why I stay loyal When I got plane morning I voicemail explaining bag make plane I getting THAT customer service See works
"What’s better than being stuck on a plane for 2 hours? Being stuck on a plane with no AC.. Thanks @AmericanAir , I now have a working theory of what hell is like",What better stuck plane hours Being stuck plane AC Thanks I working theory hell like,1,13,3,2,28,1,0,0,0,5, What better stuck plane hours Being stuck plane AC Thanks I working theory hell like
Officially on my way to the most unusual camp in America for young men. @ManCamp1994 #25yearanniversary #greenjv Nothing else like it! Using Football to teach the Christian Life. @AmericanAir @DFWAirport,Officially way unusual camp America young men yearanniversary greenjv Nothing else like Using Football teach Christian Life,0,20,1,1,28,1,0,0,2,8, Officially way unusual camp America young men year anniversary Green Nothing else like Using Football teach Christian Life
My 8 year-old says this drawing shows how her heart is divided. Look closely @AmericanAir ! pic.twitter.com/3PptSEyxOo,My year old says drawing shows heart divided Look closely pic twitter com PptSEyxOo,0,14,0,0,17,1,0,0,0,5, My year old says drawing shows heart divided Look closely pic twitter com 
@SouthwestAir cut the check for my boy Phil,cut check boy Phil,0,5,0,0,8,1,0,0,0,1, cut check boy Phil
"Thank you @AmericanAir for taking care of my damaged bag with no issue and crediting more then I had requested. Just pick up my suitcase from Macy’s! It was a pleasure flying American, one of the best airlines and they pay close attention to detail",Thank taking care damaged bag issue crediting I requested Just pick suitcase Macy It pleasure flying American one best airlines pay close attention detail,0,22,2,3,40,1,0,0,0,4, Thank taking care damaged bag issue crediting I requested Just pick suitcase Macy It pleasure flying American one best airlines pay close attention detail
"Squeakiest wheel always gets the grease it seems. But your tactics to get this Butt-Smooching Service lack class and you step on people. But, that’s why you’re Mr.July for The All-Twitter Airline Complaint Team , leading candidate for 2018...awesome ain’t it? #ATACT #WatchListed",Squeakiest wheel always gets grease seems But tactics get Butt Smooching Service lack class step people But Mr July The All Twitter Airline Complaint Team leading candidate awesome ATACT WatchListed,1,26,2,1,40,1,0,0,2,14, Squeakiest wheel always gets grease seems But tactics get Butt Smooching Service lack class step people But Mr July The All Twitter Airline Complaint Team leading candidate awesome TACT Watch Listed
"*flight gets delayed for 2 hours for no reason* @AmericanAir : “here’s a complimentary bag of peanuts” Thanks guys, thanks.",flight gets delayed hours reason complimentary bag peanuts Thanks guys thanks,0,12,1,1,18,1,0,0,0,8, flight gets delayed hours reason complimentary bag peanuts Thanks guys thanks
I had an excellent experience on the phone with American Airlines @AmericanAir A represantitive called “Dawn” was professional and super pleasant! She raises the standard so high!,I excellent experience phone American Airlines A represantitive called Dawn professional super pleasant She raises standard high,0,15,0,2,25,1,0,0,0,4, I excellent experience phone American Airlines A representative called Dawn professional super pleasant She raises standard high
VIDEO: @AmericanAir #second ever visit to @aeroportsMTL using their #new @Boeing #737Max ! This particular flight is departing to @iflymia as #AA1516 and this aircraft ( #N321RL ) was delivered about a month ago.. brand new! Video: https:// youtu.be/ks_JOta2A0w pic.twitter.com/ybSEGQny2d,VIDEO second ever visit using new Max This particular flight departing AA aircraft N RL delivered month ago brand new Video https youtu ks JOta A w pic twitter com ybSEGQny,3,33,0,0,40,1,0,0,5,19, VIDEO second ever visit using new Max This particular flight departing AA aircraft N R delivered month ago brand new Video HTTP youth ks Jato A w pic twitter com 
I understand that mistakes happen but the ahole pilot doing the victory sign pisses me off. Just for the lack of respect from the pilot I will never fly American Airlines,I understand mistakes happen ahole pilot victory sign pisses Just lack respect pilot I never fly American Airlines,0,15,2,2,27,1,0,0,0,1, I understand mistakes happen hole pilot victory sign pisses Just lack respect pilot I never fly American Airlines
"Thank you @AmericanAir for the upgrade to exit row! #hoorayforlegroom #tallgirlproblems (@Tallahassee International Airport in Tallahassee, FL) https://www. swarmapp.com/c/kac1w7k42VK",Thank upgrade exit row hoorayforlegroom tallgirlproblems International Airport Tallahassee FL https www swarmapp com c kac w k VK,2,21,0,1,18,1,0,0,2,9, Thank upgrade exit row legroom problematical International Airport Tallahassee FL HTTP WWW swarm app com c lac w k CK
Hey @AmericanAir I’m back from Vacation. I hope you are too,Hey I back Vacation I hope,0,5,0,0,11,1,0,0,0,3, Hey I back Vacation I hope
"Great idea! BUT: Frequent flyer miles can be incredibly expensive to donate (almost as expensive as the tickets themselves). Would @AmericanAir , @united , @SouthwestAir , @JetBlue , @Delta , & @VirginAmerica agree to waive fees for donating miles for immigrant reunification efforts? https:// twitter.com/bethwilensky/s tatus/1026478893400842242 …",Great idea BUT Frequent flyer miles incredibly expensive donate almost expensive tickets Would agree waive fees donating miles immigrant reunification efforts https twitter com bethwilensky tatus,1,31,2,2,43,1,0,0,0,21, Great idea BUT Frequent flier miles incredibly expensive donate almost expensive tickets Would agree waive fees donating miles immigrant reunification efforts HTTP twitter com lengthwise tats
Credit where credit is due - @AmericanAir brought snacks and drinks to our gate when a 2-hour delay was evident. Still frustrating that I’ll be two hours late to my shoot. But free airport water! pic.twitter.com/4cdZqFV3mM,Credit credit due brought snacks drinks gate hour delay evident Still frustrating I two hours late shoot But free airport water pic twitter com cdZqFV mM,0,25,3,1,32,1,0,0,0,8, Credit credit due brought snacks drinks gate hour delay evident Still frustrating I two hours late shoot But free airport water pic twitter com  mm
"Non-stop from Toronto, Canada to Los Angeles, USA for only $374 CAD roundtrip with @AmericanAir . https://www. secretflying.com/posts/toronto- canada-to-los-angeles-usa-for-only-370-cad-roundtrip/ … pic.twitter.com/2rLCjl1cgY",Non stop Toronto Canada Los Angeles USA CAD roundtrip https www secretflying com posts toronto canada los angeles usa cad roundtrip pic twitter com rLCjl cgY,2,27,0,0,21,1,0,0,0,11, Non stop Toronto Canada Los Angeles USA CAD round trip HTTP WWW secret flying com posts Toronto Canada loci Angeles USA cad round trip pic twitter com  cg Y
". @AmericanAir , don’t worry, I’ve got your back. Nate, there was a time that trip would have taken roughly a week by horse ... count your blessings. #CardinalCaliber #PositiveAttitude",worry I got back Nate time trip would taken roughly week horse count blessings CardinalCaliber PositiveAttitude,0,16,0,0,30,1,0,0,2,12, worry I got back Nate time trip would taken roughly week horse count blessings Cardinal Caliber Positive Attitude
"A blessed weekend getting mom home from @umichmedicine Home care set up. Chemo continues next week. It’s never easy leaving, but she’s #Ingestrong and battle tested. Until next visit mom...love u. #cancersucks #wefight #gloveson TY @AmericanAir #ontime @DTWeetin @DFWAirport pic.twitter.com/7sYVXcDiEs",A blessed weekend getting mom home Home care set Chemo continues next week It never easy leaving Ingestrong battle tested Until next visit mom love u cancersucks wefight gloveson TY ontime pic twitter com sYVXcDiEs,1,36,0,1,39,1,0,0,5,18, A blessed weekend getting mom home Home care set Chemo continues next week It never easy leaving Inge strong battle tested Until next visit mom love u cancer sucks weight glove son TY onetime pic twitter com syndicates
". @AmericanAir last time I flight whit you. For sure. TOW days of delate in our trip. Unefficient, unqualified and disrespectful staff.",last time I flight whit For sure TOW days delate trip Unefficient unqualified disrespectful staff,1,14,2,0,20,1,0,0,0,7, last time I flight whit For sure TOW days elate trip Inefficient unqualified disrespectful staff
Haiti was awesome. @AmericanAir was not. pic.twitter.com/IUAQBdUMEX,Haiti awesome pic twitter com IUAQBdUMEX,0,7,0,0,7,1,0,0,0,4, Haiti awesome pic twitter com 
. @AmericanAir FREE ME,FREE ME,2,2,0,1,3,1,0,0,0,2, FREE ME
Landed. Stuck without a gate. We have connections to make @AmericanAir - please park this plane 2543,Landed Stuck without gate We connections make please park plane,0,10,1,0,16,1,0,0,0,4, Landed Stuck without gate We connections make please park plane
I love how everything with @AmericanAir is always a “miscommunication”...Time for you to work on fixing your communication issues American Airlines and stop making your PAYING customers suffer for your subpar customer service.,I love everything always miscommunication Time work fixing communication issues American Airlines stop making PAYING customers suffer subpar customer service,1,20,2,2,29,1,0,0,0,3, I love everything always miscommunication Time work fixing communication issues American Airlines stop making PAYING customers suffer sub par customer service
"New York to Havana, Cuba for only $272 roundtrip with @AmericanAir . https://www. secretflying.com/posts/new-york -havana-cuba-194-roundtrip/ … pic.twitter.com/6oAHLeHd3r",New York Havana Cuba roundtrip https www secretflying com posts new york havana cuba roundtrip pic twitter com oAHLeHd r,0,21,0,0,17,1,0,0,0,9, New York Havana Cuba round trip HTTP WWW secret flying com posts new York Havana Cuba round trip pic twitter com Mahler r
LIVE: Dallas Cowboys 2018 Blue/White Scrimmage from #CowboysCamp presented by @americanair https://www. pscp.tv/w/bjd40zFlVmpZ RGVOZGVLTE98MVJER2xXWVh3WG1LTCE7jXweKQloBZO8kx7HPvCONszgW0BPol7jEgnAHA3I …,LIVE Dallas Cowboys Blue White Scrimmage CowboysCamp presented https www pscp tv w bjd zFlVmpZ RGVOZGVLTE MVJER xXWVh WG LTCE jXweKQloBZO kx HPvCONszgW BPol jEgnAHA I,5,26,0,0,15,1,0,0,1,7, LIVE Dallas Cowboys Blue White Scrimmage Cowboys Camp presented HTTP WWW cps TV w bed   JEROME  W LICE  kc  B Pol Jephthah I
You guys don’t know how to treat anyone — even the folks with status who have repeatedly used your service you treat like shit @AmericanAir #boycott,You guys know treat anyone even folks status repeatedly used service treat like shit boycott,0,15,1,1,24,1,0,0,1,4, You guys know treat anyone even folks status repeatedly used service treat like shit boycott
Everyone complains i know but you guys are truly the worst @AmericanAir — worst customer service and even more rude agents !,Everyone complains know guys truly worst worst customer service even rude agents,0,13,4,0,18,1,0,0,0,3, Everyone complains know guys truly worst worst customer service even rude agents
"I was supposed to be home at 7 tonight but you can thank @AmericanAir and @ATLairport for my absence on @wxpnfm ’s @xpnmorningshow tomorrow, and I am thanking @somevelvetblog for filling in for me last second. Also, @DJRobertDrake is in for Bob. Have fun, you two.",I supposed home tonight thank absence tomorrow I thanking filling last second Also Bob Have fun two,0,20,1,1,44,1,0,0,0,13, I supposed home tonight thank absence tomorrow I thanking filling last second Also Bob Have fun two
I never want to fly @AmericanAir again. Three delays in a row because of “crew issues.” This is absolutely ridiculous.,I never want fly Three delays row crew issues This absolutely ridiculous,0,11,1,0,19,1,0,0,0,5, I never want fly Three delays row crew issues This absolutely ridiculous
ask them if they know about bofa,ask know bofa,0,3,0,0,7,0,0,0,0,0, ask know boga
what if the pilot gets there and he’s like sorry guys i just got in a car wreck but i’m ready to fly the plane now,pilot gets like sorry guys got car wreck ready fly plane,0,11,2,2,22,0,0,0,0,2, pilot gets like sorry guys got car wreck ready fly plane
Long Beach's finest (pic http:// boeingimages.com ) #FlyDCJets #DC10 @united @AmericanAir pic.twitter.com/TNagDvuBM2,Long Beach finest pic http boeingimages com FlyDCJets DC pic twitter com TNagDvuBM,1,15,0,1,11,1,0,0,2,10, Long Beach finest pic HTTP pilgrimages com Flysheets DC pic twitter com 
Did you hear the news? @AmericanAir will no longer be charging for carry-on bags. http:// bit.ly/2mXTmfu pic.twitter.com/6L9Izvtgj7,Did hear news longer charging carry bags http bit ly mXTmfu pic twitter com L Izvtgj,0,16,0,0,17,1,0,0,0,7, Did hear news longer charging carry bags HTTP bit l Mfume pic twitter com L Izvestia
unacceptable just run it,unacceptable run,0,2,1,0,3,0,0,0,0,0, unacceptable run
sorry bro im at a long red hold tf up,sorry bro im long red hold tf,0,7,1,0,9,0,0,0,0,0, sorry bro mi long red hold ft
hey @AmericanAir we boarded our plane an hour ago and haven’t left and they just now told us our pilot isn’t even at the airport he’s stuck in traffic can you explain this please,hey boarded plane hour ago left told us pilot even airport stuck traffic explain please,0,16,1,0,33,0,0,0,0,4, hey boarded plane hour ago left told us pilot even airport stuck traffic explain please
Can you tell us what happened here @AmericanAir ? Do cellists need to stay way from your airline? American Airlines kicks a cellist and her cello off a flight: https:// chicago.cbslocal.com/2018/08/04/ame rican-airlines-musician-cello/ …,Can tell us happened Do cellists need stay way airline American Airlines kicks cellist cello flight https chicago cbslocal com ame rican airlines musician cello,0,24,0,0,33,1,0,0,0,8, Can tell us happened Do cellists need stay way airline American Airlines kicks cellist cello flight HTTP Chicago Caloocan com am African airlines musician cello
The CEOs of @Delta and @AmericanAir both say they frequently fly standard coach. “I feel what our customers experience.” lol. https://www. wsj.com/articles/when- airline-ceos-try-the-cheap-seats-1532441990?mod=searchresults&page=1&pos=7 … pic.twitter.com/5UBhIcZa5y,The CEOs say frequently fly standard coach I feel customers experience lol https www wsj com articles airline ceos try cheap seats mod searchresults page pos pic twitter com UBhIcZa,0,30,0,0,25,1,0,0,0,11, The CEO say frequently fly standard coach I feel customers experience lo HTTP WWW SJW com articles airline cos try cheap seats mod search results page pews pic twitter com 
"Like an idiot, left my IPad on the plane in my flight into Canton, figured it was gone forever. When I checked in with @AmericanAir for the flight home.. thy had it there waiting for me. Thanks @AmericanAir for covering my stupidity",Like idiot left IPad plane flight Canton figured gone forever When I checked flight home thy waiting Thanks covering stupidity,0,20,1,1,40,1,0,0,0,7, Like idiot left I Pad plane flight Canton figured gone forever When I checked flight home thy waiting Thanks covering stupidity
Thank you @AmericanAir @SapporoBeer @AstekInc @AmnetUSA @Hillersden @demitasse #TOTO #demitasse #quicktrophy for sponsoring the 2018 Japan Film Festival Los Angeles! And the shout to to our collaborator Nisei Week. Let’s do this! #losangeles #niseiweek #filmfestival pic.twitter.com/O3MZSfCdXO,Thank TOTO demitasse quicktrophy sponsoring Japan Film Festival Los Angeles And shout collaborator Nisei Week Let losangeles niseiweek filmfestival pic twitter com O MZSfCdXO,1,28,0,1,35,1,0,0,6,17, Thank TOTO demitasse quick trophy sponsoring Japan Film Festival Los Angeles And shout collaborator Nisei Week Let Angeles nisei week film festival pic twitter com O 
"Many thanks to all those that sent well-wishes, I am without gall-bladder, have four more new scars (laparoscopic surgery) & a sore belly, but otherwise recovering really well. Flying home on Monday (& happy to report that @AmericanAir has waived change & flight fees!) pic.twitter.com/I0c445mu96",Many thanks sent well wishes I without gall bladder four new scars laparoscopic surgery sore belly otherwise recovering really well Flying home Monday happy report waived change flight fees pic twitter com I c mu,0,34,2,1,42,1,0,0,0,12, Many thanks sent well wishes I without gall bladder four new scars laparoscopic surgery sore belly otherwise recovering really well Flying home Monday happy report waived change flight fees pic twitter com I c mu
Accurate. I’ve said the quote in the middle at least 10 times to people.,Accurate I said quote middle least times people,0,7,0,0,14,1,0,0,0,3, Accurate I said quote middle least times people
I think hitchhiking is faster and more reliable than @AmericanAir .,I think hitchhiking faster reliable,0,5,0,2,9,1,0,0,0,2, I think hitchhiking faster reliable
So @AmericanAir you lost my business. You basically said to bad so sad in regard to it taking us 24 hours to get to Las Vegas on 7/23. We missed a whole day out of our vacation. PSA- do not fly American people,So lost business You basically said bad sad regard taking us hours get Las Vegas We missed whole day vacation PSA fly American people,1,22,4,1,38,1,0,0,0,5, So lost business You basically said bad sad regard taking us hours get Las Vegas We missed whole day vacation SPA fly American people
"As if things couldn’t get worse, after cancelling my first direct flight of the day and then changing my flight 3 times, then redirecting me to a different airport an hour away from SF, you guys DELAYED ME AGAIN!!! @AmericanAir this insane, I’ve been waiting 6hrs for a 2hr flight",As things get worse cancelling first direct flight day changing flight times redirecting different airport hour away SF guys DELAYED ME AGAIN insane I waiting hrs hr flight,4,25,1,0,49,1,0,0,0,8, As things get worse canceling first direct flight day changing flight times redirecting different airport hour away SF guys DELAYED ME AGAIN insane I waiting hrs hr flight
"Just so everybody knows, @AmericanAir is the WORSE.",Just everybody knows WORSE,1,4,0,0,8,1,0,0,0,3, Just everybody knows WORSE
Meet a Latina pilot who shares how she persevered to live her dream of becoming the first and youngest *Latina Airline Captain*. The sky’s not the limit for Captain Linda Pauwels! Listen! http:// bit.ly/2n4Ya2Q #StoriesBeyondTheHeadlines @TereRodriguezTV @AmericanAir pic.twitter.com/66qjHvik6p,Meet Latina pilot shares persevered live dream becoming first youngest Latina Airline Captain The sky limit Captain Linda Pauwels Listen http bit ly n Ya Q StoriesBeyondTheHeadlines pic twitter com qjHvik p,0,33,1,0,37,1,0,0,1,11, Meet Latina pilot shares persevered live dream becoming first youngest Latina Airline Captain The sky limit Captain Linda Passels Listen HTTP bit l n Ya Q Headlines pic twitter com  p
"Mother Nature was showing off again last night on approach into #PHL . Truly beautiful #sunset at 20,000 feet on @AmericanAir from #SFO . #ItsAmazingOutThere pic.twitter.com/DK0jblfCj7",Mother Nature showing last night approach PHL Truly beautiful sunset feet SFO ItsAmazingOutThere pic twitter com DK jblfCj,3,19,0,1,25,1,0,0,4,9, Mother Nature showing last night approach FL Truly beautiful sunset feet SF  pic twitter com D 
"When I fly, I fly on airlines that help me. Airlines like @AmericanAir and @united apparently like to say,""No"" & lean on policy instead of getting things right. I don't fly American or United because I know, from their actions, they are more focused on policy than the customer.",When I fly I fly airlines help Airlines like apparently like say No lean policy instead getting things right I fly American United I know actions focused policy customer,0,25,0,3,46,1,0,0,0,11, When I fly I fly airlines help Airlines like apparently like say No lean policy instead getting things right I fly American United I know actions focused policy customer
Whewwwww @AmericanAir has a lot of angry journalists trying to get back to NYC from Detroit today. I went from getting back at 4 to getting back at midnight...hopefully. And I’m one of the lucky ones.,Whewwwww lot angry journalists trying get back NYC Detroit today I went getting back getting back midnight hopefully And I one lucky ones,1,21,1,1,34,1,0,0,0,5, Whew lot angry journalists trying get back NYC Detroit today I went getting back getting back midnight hopefully And I one lucky ones
Jackson MS. to Tampa by car 14 hours. DC to Tampa by car 14 hours Getting to Tampa from either of those places by @AmericanAir 48 hours and told learn to live with it by their customer service agent.,Jackson MS Tampa car hours DC Tampa car hours Getting Tampa either places hours told learn live customer service agent,2,21,0,0,39,1,0,0,0,4, Jackson MS Tampa car hours DC Tampa car hours Getting Tampa either places hours told learn live customer service agent
"When @AmericanAir cancels your flight in the wee hours of the morning and refuses to let you contact them<<<<<<< Worst customer service ever. Compensate us, buy me tickets to the Red Sox-Yankees game tonight since you want us to stay in Boston so badly.",When cancels flight wee hours morning refuses let contact Worst customer service ever Compensate us buy tickets Red Sox Yankees game tonight since want us stay Boston badly,0,28,2,0,42,1,0,0,0,6, When cancels flight wee hours morning refuses let contact Worst customer service ever Compensate us buy tickets Red Soc Yankees game tonight since want us stay Boston badly
LAX -> DCA @AmericanAir and 5 hours of luxurious non digital time to read and think about @AEJMC @AEJMC_LAWP Wed panel on free speech and extremism in Trump era #aejmc18 pic.twitter.com/nygDTA9M2F – at American Airlines,LAX DCA hours luxurious non digital time read think Wed panel free speech extremism Trump era aejmc pic twitter com nygDTA M F American Airlines,2,28,1,3,31,1,0,0,1,7, LAX DC hours luxurious non digital time read think Wed panel free speech extremism Trump era Taejon pic twitter com  M F American Airlines
Who cancels a 5:45 am flight 7 hrs before it takes off? Now i’m rerouted to 2 more stops that increased my travel time 4 hours on an already extensive flight from SFO to Munich. And get to my desired (international) location a day late. Terrible customer support too @AmericanAir,Who cancels flight hrs takes Now rerouted stops increased travel time hours already extensive flight SFO Munich And get desired international location day late Terrible customer support,1,25,1,1,48,1,0,0,0,7, Who cancels flight hrs takes Now rerouted stops increased travel time hours already extensive flight SF Munich And get desired international location day late Terrible customer support
"You could release your stats for lost/destroyed mobility aids. I know airlines petitioned to have that law delayed, but it wouldn’t be illegal to start reporting early.",You could release stats lost destroyed mobility aids I know airlines petitioned law delayed illegal start reporting early,0,16,1,0,26,1,0,0,0,5, You could release stats lost destroyed mobility aids I know airlines petitioned law delayed illegal start reporting early
"More than 2.3 million passengers fly on U.S. airlines daily, and @AmericanAir Customer Care Agent Ryla loves using her skills to help them: “I speak three different languages, so if there’s a day when I can utilize that... it’s a great day.” #TheFlyLife pic.twitter.com/dXGlA6JwZo",More million passengers fly U S airlines daily Customer Care Agent Ryla loves using skills help I speak three different languages day I utilize great day TheFlyLife pic twitter com dXGlA JwZo,0,29,0,2,42,1,0,0,1,13, More million passengers fly U S airlines daily Customer Care Agent Ry la loves using skills help I speak three different languages day I utilize great day Lifestyle pic twitter com glad Wazoo
"Atlanta to Havana, Cuba for only $176 roundtrip with @AmericanAir . https://www. secretflying.com/posts/non-stop -atlanta-havana-cuba-380-roundtrip/ … pic.twitter.com/pv4nmRtzxR",Atlanta Havana Cuba roundtrip https www secretflying com posts non stop atlanta havana cuba roundtrip pic twitter com pv nmRtzxR,0,21,0,0,16,1,0,0,0,9, Atlanta Havana Cuba round trip HTTP WWW secret flying com posts non stop Atlanta Havana Cuba round trip pic twitter com p 
